"","user","date_time","date","hour","day","price"
"65","bitcoinprice",2017-05-27 02:00:05,2017-05-27,2,"Sat",2279.26
"66","bitcoinprice",2017-05-27 01:00:04,2017-05-27,1,"Sat",2261.21
"67","bitcoinprice",2017-05-27 00:00:05,2017-05-27,0,"Sat",2237.59
"68","bitcoinprice",2017-05-26 23:00:05,2017-05-26,23,"Fri",2245.86
"69","bitcoinprice",2017-05-26 22:00:05,2017-05-26,22,"Fri",2259.75
"70","bitcoinprice",2017-05-26 21:00:04,2017-05-26,21,"Fri",2265.93
"71","bitcoinprice",2017-05-26 20:00:04,2017-05-26,20,"Fri",2276.34
"72","bitcoinprice",2017-05-26 19:00:04,2017-05-26,19,"Fri",2217.39
"73","bitcoinprice",2017-05-26 18:00:04,2017-05-26,18,"Fri",2286.52
"74","bitcoinprice",2017-05-26 17:00:04,2017-05-26,17,"Fri",2406.05
"75","bitcoinprice",2017-05-26 16:00:03,2017-05-26,16,"Fri",2412.53
"76","bitcoinprice",2017-05-26 15:00:04,2017-05-26,15,"Fri",2414.72
"77","bitcoinprice",2017-05-26 14:00:03,2017-05-26,14,"Fri",2420
"78","bitcoinprice",2017-05-26 13:00:03,2017-05-26,13,"Fri",2489.89
"79","bitcoinprice",2017-05-26 12:00:04,2017-05-26,12,"Fri",2554.89
"80","bitcoinprice",2017-05-26 11:00:04,2017-05-26,11,"Fri",2541.87
"81","bitcoinprice",2017-05-26 10:00:03,2017-05-26,10,"Fri",2545.38
"82","bitcoinprice",2017-05-26 09:00:04,2017-05-26,9,"Fri",2589.95
"83","bitcoinprice",2017-05-26 08:00:04,2017-05-26,8,"Fri",2493.05
"84","bitcoinprice",2017-05-26 07:00:03,2017-05-26,7,"Fri",2485.16
"85","bitcoinprice",2017-05-26 06:00:03,2017-05-26,6,"Fri",2494.53
"86","bitcoinprice",2017-05-26 05:00:04,2017-05-26,5,"Fri",2398.02
"87","bitcoinprice",2017-05-26 04:00:04,2017-05-26,4,"Fri",2389.37
"88","bitcoinprice",2017-05-26 03:00:03,2017-05-26,3,"Fri",2381.72
"89","bitcoinprice",2017-05-26 02:00:03,2017-05-26,2,"Fri",2319.07
"90","bitcoinprice",2017-05-26 01:00:04,2017-05-26,1,"Fri",2367.49
"91","bitcoinprice",2017-05-26 00:00:05,2017-05-26,0,"Fri",2283.1
"92","bitcoinprice",2017-05-25 23:00:03,2017-05-25,23,"Thu",2427.35
"93","bitcoinprice",2017-05-25 22:00:03,2017-05-25,22,"Thu",2493.59
"94","bitcoinprice",2017-05-25 21:00:05,2017-05-25,21,"Thu",2434.31
"95","bitcoinprice",2017-05-25 20:00:04,2017-05-25,20,"Thu",2377.88
"96","bitcoinprice",2017-05-25 19:02:43,2017-05-25,19,"Thu",2500.29
"97","bitcoinprice",2017-05-25 18:00:06,2017-05-25,18,"Thu",2411.36
"98","bitcoinprice",2017-05-25 17:00:04,2017-05-25,17,"Thu",2520.57
"99","bitcoinprice",2017-05-25 16:00:05,2017-05-25,16,"Thu",2667.52
"100","bitcoinprice",2017-05-25 15:00:05,2017-05-25,15,"Thu",2728.01
"101","bitcoinprice",2017-05-25 14:00:04,2017-05-25,14,"Thu",2703.65
"102","bitcoinprice",2017-05-25 13:00:04,2017-05-25,13,"Thu",2712.86
"103","bitcoinprice",2017-05-25 12:00:04,2017-05-25,12,"Thu",2700.69
"104","bitcoinprice",2017-05-25 11:00:04,2017-05-25,11,"Thu",2699.09
"105","bitcoinprice",2017-05-25 10:00:04,2017-05-25,10,"Thu",2643.6
"106","bitcoinprice",2017-05-25 09:00:04,2017-05-25,9,"Thu",2651.04
"107","bitcoinprice",2017-05-25 08:00:03,2017-05-25,8,"Thu",2629.26
"108","bitcoinprice",2017-05-25 07:00:04,2017-05-25,7,"Thu",2621.17
"109","bitcoinprice",2017-05-25 06:00:05,2017-05-25,6,"Thu",2592.81
"110","bitcoinprice",2017-05-25 05:00:04,2017-05-25,5,"Thu",2531.98
"111","bitcoinprice",2017-05-25 04:00:12,2017-05-25,4,"Thu",2543.36
"112","bitcoinprice",2017-05-25 03:00:04,2017-05-25,3,"Thu",2519.29
"113","bitcoinprice",2017-05-25 02:00:04,2017-05-25,2,"Thu",2501.63
"114","bitcoinprice",2017-05-25 01:00:04,2017-05-25,1,"Thu",2447.17
"115","bitcoinprice",2017-05-25 00:00:04,2017-05-25,0,"Thu",2433.19
"116","bitcoinprice",2017-05-24 23:00:03,2017-05-24,23,"Wed",2388.1
"117","bitcoinprice",2017-05-24 22:00:04,2017-05-24,22,"Wed",2471.15
"118","bitcoinprice",2017-05-24 21:00:03,2017-05-24,21,"Wed",2458
"119","bitcoinprice",2017-05-24 20:00:04,2017-05-24,20,"Wed",2478.66
"120","bitcoinprice",2017-05-24 19:00:04,2017-05-24,19,"Wed",2446.19
"121","bitcoinprice",2017-05-24 18:00:04,2017-05-24,18,"Wed",2430.01
"122","bitcoinprice",2017-05-24 17:00:04,2017-05-24,17,"Wed",2418.73
