Date,"Close Price"
"2017-05-29 00:01:00",2207.81
"2017-05-29 00:02:00",2208.09
"2017-05-29 00:03:00",2209.44
"2017-05-29 00:04:00",2210.05
"2017-05-29 00:05:00",2210.01
"2017-05-29 00:06:00",2209.59
"2017-05-29 00:07:00",2211.29
"2017-05-29 00:08:00",2211.57
"2017-05-29 00:09:00",2211.22
"2017-05-29 00:10:00",2211.4
"2017-05-29 00:11:00",2211.94
"2017-05-29 00:12:00",2212.26
"2017-05-29 00:13:00",2212.33
"2017-05-29 00:14:00",2212.59
"2017-05-29 00:15:00",2215.88
"2017-05-29 00:16:00",2216.32
"2017-05-29 00:17:00",2216.42
"2017-05-29 00:18:00",2219.75
"2017-05-29 00:19:00",2219.82
"2017-05-29 00:20:00",2220.4
"2017-05-29 00:21:00",2221.16
"2017-05-29 00:22:00",2223.02
"2017-05-29 00:23:00",2225.82
"2017-05-29 00:24:00",2226.7
"2017-05-29 00:25:00",2228.47
"2017-05-29 00:26:00",2228.99
"2017-05-29 00:27:00",2230.05
"2017-05-29 00:28:00",2230.98
"2017-05-29 00:29:00",2230.71
"2017-05-29 00:30:00",2230.83
"2017-05-29 00:31:00",2230.64
"2017-05-29 00:32:00",2229.33
"2017-05-29 00:33:00",2230.37
"2017-05-29 00:34:00",2230.7
"2017-05-29 00:35:00",2230.59
"2017-05-29 00:36:00",2230.44
"2017-05-29 00:37:00",2230.26
"2017-05-29 00:38:00",2228.04
"2017-05-29 00:39:00",2227.75
"2017-05-29 00:40:00",2226.17
"2017-05-29 00:41:00",2224.72
"2017-05-29 00:42:00",2222.79
"2017-05-29 00:43:00",2223.74
"2017-05-29 00:44:00",2222.58
"2017-05-29 00:45:00",2223.68
"2017-05-29 00:46:00",2224.71
"2017-05-29 00:47:00",2225.74
"2017-05-29 00:48:00",2226.51
"2017-05-29 00:49:00",2229.06
"2017-05-29 00:50:00",2229.5
"2017-05-29 00:51:00",2228.59
"2017-05-29 00:52:00",2227.27
"2017-05-29 00:53:00",2225.92
"2017-05-29 00:54:00",2224.15
"2017-05-29 00:55:00",2223.3
"2017-05-29 00:56:00",2223.15
"2017-05-29 00:57:00",2225.26
"2017-05-29 00:58:00",2227.13
"2017-05-29 00:59:00",2226.22
"2017-05-29 01:00:00",2225.76
"2017-05-29 01:01:00",2224.26
"2017-05-29 01:02:00",2224.6
"2017-05-29 01:03:00",2227.04
"2017-05-29 01:04:00",2226.78
"2017-05-29 01:05:00",2225.31
"2017-05-29 01:06:00",2225.35
"2017-05-29 01:07:00",2224.32
"2017-05-29 01:08:00",2224.41
"2017-05-29 01:09:00",2224.4
"2017-05-29 01:10:00",2225.46
"2017-05-29 01:11:00",2224.01
"2017-05-29 01:12:00",2225.36
"2017-05-29 01:13:00",2225.28
"2017-05-29 01:14:00",2224.52
"2017-05-29 01:15:00",2222.21
"2017-05-29 01:16:00",2223.99
"2017-05-29 01:17:00",2226.21
"2017-05-29 01:18:00",2227.89
"2017-05-29 01:19:00",2227.81
"2017-05-29 01:20:00",2226.4
"2017-05-29 01:21:00",2226.61
"2017-05-29 01:22:00",2226.41
"2017-05-29 01:23:00",2227.61
"2017-05-29 01:24:00",2227
"2017-05-29 01:25:00",2227.89
"2017-05-29 01:26:00",2228.78
"2017-05-29 01:27:00",2227.15
"2017-05-29 01:28:00",2228.75
"2017-05-29 01:29:00",2228.66
"2017-05-29 01:30:00",2228.33
"2017-05-29 01:31:00",2229.46
