Date,Close
2017-04-28,1320.0513
2017-04-29,1327.0388
2017-04-30,1347.9588
2017-05-01,1402.0838
2017-05-02,1443.6825
2017-05-03,1491.9988
2017-05-04,1515.6288
2017-05-05,1512.2088
2017-05-06,1548.2863
2017-05-07,1555.4713
2017-05-08,1639.3225
2017-05-09,1706.9313
2017-05-10,1756.8025
2017-05-11,1807.3725
2017-05-12,1676.9938
2017-05-13,1759.9613
2017-05-14,1772.4163
2017-05-15,1697.3788
2017-05-16,1718.2013
2017-05-17,1802.1638
2017-05-18,1887.3263
2017-05-19,1968.1025
2017-05-20,2051.7350
2017-05-21,2055.6175
2017-05-22,2139.0275
2017-05-23,2291.4775
2017-05-24,2476.2963
2017-05-25,2357.5038
2017-05-26,2247.4825
2017-05-27,2106.3075
2017-05-28,2207.5775

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
